Date,DesignCycleCount70,CycleCount,DesignCycleCount9C,MaxCapacity,CurrentCapacity,DesignCapacity
2012-08-14 16:35:00,65535,1,1000,6648,6354,6700
2012-08-14 16:36:00,65535,1,1000,6648,6367,6700
2012-08-14 16:37:00,65535,1,1000,6648,6379,6700
2012-08-14 16:38:00,65535,1,1000,6648,6391,6700
2012-08-14 16:39:00,65535,1,1000,6648,6403,6700
2012-08-14 16:40:00,65535,1,1000,6648,6414,6700
2012-08-14 16:41:00,65535,1,1000,6648,6424,6700
2012-08-14 16:42:00,65535,1,1000,6648,6429,6700
2012-08-14 16:43:00,65535,1,1000,6648,6426,6700
2012-08-14 16:44:00,65535,1,1000,6648,6406,6700
2012-08-14 16:45:00,65535,1,1000,6648,6378,6700
2012-08-14 16:46:00,65535,1,1000,6648,6354,6700
2012-08-14 16:47:00,65535,2,1000,6648,6334,6700
2012-08-14 16:48:00,65535,2,1000,6648,6313,6700
2012-08-14 16:49:00,65535,2,1000,6648,6284,6700
2012-08-14 16:50:00,65535,2,1000,6648,6260,6700
2012-08-14 16:51:00,65535,2,1000,6648,6240,6700
2012-08-14 16:52:00,65535,2,1000,6648,6224,6700
2012-08-14 16:53:00,65535,2,1000,6648,6203,6700
2012-08-14 16:54:00,65535,2,1000,6648,6193,6700
2012-08-14 16:55:00,65535,2,1000,6648,6173,6700
2012-08-14 16:56:00,65535,2,1000,6648,6153,6700
2012-08-14 16:57:00,65535,2,1000,6648,6135,6700
2012-08-14 16:58:00,65535,2,1000,6648,6114,6700
2012-08-14 16:59:00,65535,2,1000,6648,6093,6700
2012-08-14 17:00:00,65535,2,1000,6648,6067,6700
2012-08-14 17:01:00,65535,2,1000,6648,6047,6700
2012-08-14 17:02:00,65535,2,1000,6648,6027,6700
2012-08-14 17:03:00,65535,2,1000,6648,6007,6700
2012-08-14 17:04:00,65535,2,1000,6648,5985,6700
2012-08-14 17:05:00,65535,2,1000,6648,5965,6700
2012-08-14 17:06:00,65535,2,1000,6646,5944,6700
2012-08-14 17:07:00,65535,2,1000,6646,5926,6700
2012-08-14 17:08:00,65535,2,1000,6646,5908,6700
2012-08-14 17:09:00,65535,2,1000,6646,5890,6700
2012-08-14 17:10:00,65535,2,1000,6646,5872,6700
2012-08-14 17:11:00,65535,2,1000,6646,5855,6700
2012-08-14 17:12:00,65535,2,1000,6646,5835,6700
2012-08-14 17:13:00,65535,2,1000,6646,5818,6700
2012-08-14 17:14:00,65535,2,1000,6646,5803,6700
2012-08-14 17:15:00,65535,2,1000,6646,5785,6700
2012-08-14 17:16:00,65535,2,1000,6646,5765,6700
2012-08-14 17:17:00,65535,2,1000,6646,5747,6700
2012-08-14 17:18:00,65535,2,1000,6646,5731,6700
2012-08-14 17:19:00,65535,2,1000,6646,5713,6700
2012-08-14 17:20:00,65535,2,1000,6646,5693,6700
2012-08-14 17:21:00,65535,2,1000,6646,5676,6700
2012-08-14 17:22:00,65535,2,1000,6646,5660,6700
2012-08-14 17:23:00,65535,2,1000,6646,5645,6700
2012-08-14 17:24:00,65535,2,1000,6646,5629,6700
2012-08-14 17:25:00,65535,2,1000,6646,5610,6700
2012-08-14 17:26:00,65535,2,1000,6646,5590,6700
2012-08-14 17:27:00,65535,2,1000,6646,5571,6700
2012-08-14 17:28:00,65535,2,1000,6646,5551,6700
2012-08-14 17:29:00,65535,2,1000,6646,5532,6700
2012-08-14 17:30:00,65535,2,1000,6646,5522,6700
